<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.14	161.96	162.53	157.23	157.86	35575	0	11
2022.07.15	158.66	164.92	157.72	164.18	32871	0	11
2022.07.18	167.25	171.63	165.60	167.04	32274	0	11
2022.07.19	168.42	176.43	168.20	176.18	33172	0	11
2022.07.20	177.29	183.55	175.29	183.13	36214	0	11
2022.07.21	182.50	183.78	178.81	182.72	38494	0	11
2022.07.22	174.15	175.52	168.36	168.85	44803	0	11
2022.07.25	169.45	170.47	164.76	165.80	30899	0	11
2022.07.26	166.49	166.53	157.89	158.89	24719	0	11
2022.07.27	162.24	170.81	161.72	169.63	33111	0	11
2022.07.28	159.08	162.86	154.80	159.69	51641	0	11
2022.07.29	161.09	161.42	155.13	159.16	32016	0	11
2022.08.01	157.57	165.13	155.19	159.95	35898	0	11
2022.08.02	157.98	162.18	157.24	160.20	35360	0	11
2022.08.03	160.39	169.46	159.49	168.97	29717	0	11
2022.08.04	169.38	172.07	166.76	169.69	29192	0	11
2022.08.05	169.83	171.54	165.76	166.58	29698	0	11
2022.08.08	167.90	176.06	167.03	170.76	33003	0	11
2022.08.09	170.11	170.11	166.55	168.24	24331	0	11
2022.08.10	169.46	180.40	168.93	178.34	27842	0	11
2022.08.11	177.67	183.02	176.31	177.29	26413	0	11
2022.08.12	179.10	181.28	178.27	180.17	21626	0	11
2022.08.15	178.85	181.36	177.77	180.95	20928	0	11
2022.08.16	179.95	180.91	176.97	179.26	23301	0	11
2022.08.17	177.39	178.08	174.11	175.34	27763	0	11
2022.08.18	175.19	175.70	171.81	175.09	23390	0	11
2022.08.19	171.75	172.20	167.01	168.02	23262	0	11
2022.08.22	164.69	166.08	162.21	162.57	22882	0	11
2022.08.23	163.36	164.98	160.97	161.32	26847	0	11
2022.08.24	161.47	165.41	159.71	163.92	24505	0	11
2022.08.25	164.58	168.43	163.85	168.16	25150	0	11
2022.08.26	167.06	170.87	161.79	161.89	40268	0	11
2022.08.29	159.71	162.99	159.00	160.26	30304	0	11
2022.08.30	161.26	161.56	155.86	157.16	38166	0	11
2022.08.31	157.59	167.77	157.59	164.46	57554	0	11
2022.09.01	161.33	167.29	160.30	164.02	52040	0	11
2022.09.02	164.43	167.64	159.18	159.39	53613	0	11
2022.09.06	161.17	161.61	157.64	158.73	51047	0	11
2022.09.07	158.98	160.79	156.76	160.47	28633	0	11
2022.09.08	159.96	161.98	157.56	161.09	42864	0	11
2022.09.09	163.47	169.05	162.56	169.03	25771	0	11
2022.09.12	169.56	171.31	166.54	168.90	26568	0	11
2022.09.13	169.34	169.76	152.62	153.06	36478	0	11
2022.09.14	154.07	154.14	149.01	150.36	43341	0	11
